#StageId,LayerNo,GroupId,PosId,ItemId,ItemNum,MaxItemNum,Quality,IsHidden,DropChance
1,0,256,0,7974,1,1,0,False,1
1,0,256,0,7790,1,3,0,False,1
1,0,256,1,7961,1,3,0,False,1
1,0,256,2,7976,1,2,0,False,1
1,0,256,2,7893,0,1,1,False,1
1,0,256,3,7961,1,2,0,False,1
1,0,256,4,7976,1,2,0,False,1
1,0,256,5,7790,1,5,0,False,1
1,0,256,6,7974,1,1,0,False,1
1,0,256,7,55,1,2,0,False,1
1,0,256,8,7961,1,2,0,False,1
1,0,256,9,7976,1,3,0,False,1
1,0,256,10,7976,1,2,0,False,1
1,0,256,11,7961,1,2,0,False,1
1,0,256,12,7974,1,1,0,False,1
1,0,256,13,7951,1,1,0,False,1
1,0,256,13,7790,1,6,0,False,1
1,0,256,14,7961,1,2,0,False,1
1,0,256,15,7960,1,1,0,False,1
1,0,256,15,7790,1,8,0,False,1
1,0,256,16,7974,1,3,0,False,1
1,0,256,17,7917,1,2,0,False,1
1,0,256,17,7768,1,1,0,False,1
1,0,256,18,7811,1,1,0,False,1
1,0,256,18,7768,1,3,0,False,1
1,0,256,18,7917,1,1,0,False,1
1,0,256,19,7974,1,1,0,False,1
1,0,256,20,7974,2,3,0,False,1
1,0,256,21,7974,1,2,0,False,1
1,0,256,22,7974,1,2,0,False,1
1,0,256,23,7974,1,2,0,False,1
1,0,256,24,7974,1,1,0,False,1
1,0,257,1,7976,1,1,0,False,1
1,0,257,2,8016,1,1,0,False,1
1,0,257,3,8016,1,3,0,False,1
1,0,257,4,7824,1,1,0,False,1
1,0,257,5,7824,1,2,0,False,1
1,0,257,6,7976,1,2,0,False,1
1,0,257,7,7976,1,2,0,False,1
1,0,257,8,7961,1,2,0,False,1
1,0,257,9,7790,1,5,0,False,1
1,0,257,9,36,0,3,0,False,1
1,0,257,9,7825,0,1,0,False,1
1,0,257,9,7858,1,2,0,False,1
1,0,257,10,7824,1,2,0,False,1
1,0,257,11,8016,1,2,0,False,1
1,0,257,12,7790,1,7,0,False,1
1,0,257,12,34,0,3,0,False,1
1,0,257,13,7811,0,1,0,False,1
1,0,257,13,7768,1,2,0,False,1
1,0,257,13,7917,1,1,0,False,1
1,0,257,14,9429,0,1,1,False,1
1,0,257,14,7811,1,2,0,False,1
1,0,257,14,7768,1,1,0,False,1
1,0,257,14,7917,1,1,0,False,1
1,0,257,15,7961,1,1,0,False,1
1,0,257,16,7961,1,1,0,False,1
1,0,257,17,7961,1,2,0,False,1
1,0,257,18,7961,1,2,0,False,1
1,0,257,19,7961,1,3,0,False,1
1,0,257,20,7961,1,1,0,False,1
1,0,257,21,7961,1,2,0,False,1
1,0,258,0,7824,1,2,0,False,1
1,0,258,1,7976,0,1,0,False,1
1,0,258,1,7974,1,2,0,False,1
1,0,258,2,7976,1,3,0,False,1
1,0,258,3,9367,1,1,0,False,1
1,0,258,3,7790,1,3,0,False,1
1,0,258,4,7790,5,13,0,False,1
1,0,258,5,7993,1,3,0,False,1
1,0,258,5,7994,0,2,1,False,1
1,0,258,6,7976,1,2,0,False,1
1,0,258,7,7974,2,3,0,False,1
1,0,258,8,7961,1,2,0,False,1
1,0,258,9,7976,1,3,0,False,1
1,0,258,10,7961,1,2,0,False,1
1,0,258,10,7968,1,1,0,False,1
1,0,258,11,34,1,3,0,False,1
1,0,258,11,7790,5,55,0,False,1
1,0,258,12,7976,1,3,0,False,1
1,0,258,13,7824,1,2,0,False,1
1,0,258,14,7961,1,2,0,False,1
1,0,258,14,7963,0,2,1,False,1
1,0,258,15,7961,1,2,0,False,1
1,0,258,16,7811,1,1,0,False,1
1,0,258,16,7768,1,1,0,False,1
1,0,258,16,7917,1,1,0,False,1
1,0,258,17,7811,1,2,0,False,1
1,0,258,17,7768,1,3,0,False,1
1,0,258,17,7917,1,1,0,False,1
1,0,258,18,7811,1,1,0,False,1
1,0,258,18,7768,1,2,0,False,1
1,0,258,18,7917,1,2,0,False,1
1,0,258,19,7790,4,4,0,False,1
1,0,336,0,7790,1,50,0,False,1
1,0,336,1,7790,1,70,0,False,1
1,0,336,1,34,0,2,0,False,1
1,0,339,0,7895,1,2,0,False,1
1,0,339,0,7790,5,5,0,False,1
1,0,339,19,7791,1,3,0,False,1
1,0,339,19,35,0,1,1,False,1
1,0,304,0,7963,1,2,0,False,1
1,0,304,0,9159,1,3,0,False,1
1,0,304,1,7552,3,4,0,False,1
1,0,304,2,7863,2,3,0,False,1
1,0,304,2,7857,1,4,0,False,1
1,0,304,3,40,1,4,0,False,1
1,0,303,0,7790,10,30,0,False,1
1,0,303,0,61,0,2,0,False,1
1,0,303,1,7863,1,4,0,False,1
1,0,303,1,9396,1,2,0,False,1
1,0,303,2,7863,2,3,0,False,1
1,0,303,2,7857,1,4,0,False,1
1,0,303,3,7863,2,4,0,False,1
1,0,303,3,7857,0,4,0,False,1
1,0,302,0,61,1,5,0,False,1
1,0,302,0,7552,1,5,0,False,1
1,0,302,1,7790,12,14,0,False,1
1,0,303,4,7970,1,2,0,False,1
1,0,303,4,9059,2,4,0,False,1
1,0,303,5,7791,3,5,0,False,1
1,0,303,7,9034,1,1,0,False,1
1,0,303,7,7790,40,50,0,False,1
1,0,303,8,7863,1,3,0,False,1
1,0,303,8,7857,1,3,0,False,1
1,0,295,0,7791,1,3,0,False,1
1,0,295,0,61,1,3,0,False,1
1,0,331,0,9065,0,1,0,False,1
1,0,331,0,7975,1,3,0,False,1
1,0,331,1,9065,0,2,0,False,1
1,0,331,1,7975,1,2,0,False,1
1,0,331,2,9412,2,3,0,False,1
1,0,331,2,9413,1,2,0,False,1
1,0,331,2,9398,2,4,0,False,1
1,0,331,3,1074,3,5,0,False,1
1,0,302,2,7970,2,5,0,False,1
1,0,302,2,9059,0,4,0,False,1
1,0,302,3,7857,1,3,0,False,1
1,0,302,3,9396,0,3,0,False,1
1,0,302,4,7857,1,4,0,False,1
1,0,302,4,9396,0,2,0,False,1
1,0,303,9,7970,2,6,0,False,1
1,0,303,9,9059,0,1,0,False,1
1,0,303,10,7790,18,20,0,False,1
1,0,303,11,7990,1,2,0,False,1
1,0,303,11,9065,1,3,0,False,1
1,0,303,12,7863,1,4,0,False,1
1,0,303,12,7859,0,1,1,False,1
1,0,303,13,7979,1,2,0,False,1
1,0,303,13,7990,1,3,0,False,1
1,0,303,14,7969,1,3,0,False,1
